,fluence,photon_energy,density,hydrogen_factor,nitrogen_factor,oxygen_factor,carbon_factor,sulphur_factor
0,245485.60793328309,2035.0,1.6133353659492464,0.14251194961720542,0.763224348554071,0.0,0.053904942462455994,0.040358759366267566
1,210449.6774279967,3794.0,0.8679956025316689,0.7332521410644625,0.08992512426020802,0.0,0.13297207773796002,0.04385065693736948
2,169861.49988077345,1066.0,1.4105132166406475,0.07479315904876004,0.7005452263984048,0.0,0.1908783941985107,0.03378322035432448
3,44887.63131758105,533.0,1.3815467696379802,0.00836142104092212,0.1699402352631259,0.0,0.7121703371340784,0.10952800656187361
4,382210.6792346049,3883.0,1.8579023870845721,0.030777114751571664,0.003660268136075273,0.0,0.9311442325288882,0.03441838458346489
5,19546.336866837442,2181.0,1.7957456682672386,0.011148864938402966,0.3209539480624642,0.0,0.6508195287358719,0.017077658263260926
6,412035.1740655221,3083.0,1.3289580174542683,0.01720567790587249,0.3930194802703227,0.0,0.4897663807310111,0.10000846109279372
7,344420.8824611527,6913.0,1.9355601426641798,0.6272733754091266,0.015398607635069402,0.0,0.2601545092105809,0.09717350774522318
8,71179.02516690604,585.0,0.7061039658472782,0.6170937659779444,0.15083806580722525,0.0,0.1576362702966825,0.07443189791814783
9,208390.90046664473,1855.0,1.3991545791835556,0.6082554314554275,0.0960929488373178,0.0,0.17134019288784158,0.12431142681941323
10,51707.13234833956,2747.0,0.5252320170263196,0.03369686456121691,0.9394989607651307,0.0,6.723180994873813e-05,0.02673694286370362
11,338627.135962807,9118.0,1.7194405321088517,0.1006965276772192,0.42004335607663185,0.0,0.38972215304430957,0.0895379632018394
12,452763.4282320427,4563.0,0.6123181026656945,0.19831820650486784,0.6381207265581668,0.0,0.07510039017531711,0.08846067676164823
13,72180.02044812593,2563.0,1.986510312403199,0.5670242414218238,0.24875154544442815,0.0,0.13998912503277186,0.0442350881009761
14,348336.44803049875,4890.0,0.5001512833592769,0.06697698466255929,0.8474634238943992,0.0,0.05319934089665635,0.032360250546385215
15,430493.120719487,3623.0,0.627147552063745,0.33309807849482675,0.23731426301797268,0.0,0.3822365653355144,0.04735109315168617
16,86624.96132039458,1253.0,1.2041135345643317,0.01817403752603253,0.6405779273488609,0.0,0.295085610889712,0.046162424235394614
17,493910.7580971615,4890.0,1.3123858711199317,0.06746792779261376,0.18771605693595325,0.0,0.6600308914402007,0.08478512383123234
18,231405.04444269085,3083.0,0.8238893402433636,0.04290408327555653,0.7295095576412044,0.0,0.1125628437218656,0.11502351536137358
19,73834.90412207131,9771.0,1.753504591711357,0.10397852620053706,0.7961837327590183,0.0,0.05385057043517814,0.04598717060526637
20,133901.1235015785,1988.0,0.5844866369129547,0.10317500846113302,0.6097584408925614,0.0,0.24805877034510518,0.03900778030120042
21,16072.129554053172,3012.0,1.711424401769816,0.23578211686075434,0.18400006571321204,0.0,0.5308529724371125,0.049364844988921186
22,430397.0257003892,4258.0,1.867942794898271,0.7013789489138006,0.06812108672846669,0.0,0.1578312643061648,0.07266870005156789
23,104233.96724898562,599.0,1.1690291888694175,0.005601116674166939,0.7140773615617318,0.0,0.18833863696157688,0.09198288480252437
24,63590.51527437612,7758.0,1.7588568226732182,0.37956315808541635,0.10441679200825434,0.0,0.3279738974399752,0.18804615246635414
25,302821.7296734087,9118.0,0.8102208336902179,0.22125015536703374,0.270010310601518,0.0,0.442103953293273,0.06663558073817531
